variant,condition,files,encounters,breaks,rate_pct
flat_alpha,minimal,4,192,10,5.2
grouped_by_type,minimal,4,192,3,1.6
append_order,minimal,4,192,17,8.9
ui_contract,minimal,4,192,2,1.0
alpha_nested,minimal,4,192,8,4.2
nested_narrative,minimal,4,192,0,0.0
flat_alpha,gamin,5,216,5,2.3
grouped_by_type,gamin,5,216,0,0.0
append_order,gamin,5,216,14,6.5
ui_contract,gamin,5,216,1,0.5
alpha_nested,gamin,5,216,8,3.7
nested_narrative,gamin,5,216,0,0.0
flat_alpha,low,5,216,9,4.2
grouped_by_type,low,5,216,0,0.0
append_order,low,5,216,7,3.2
ui_contract,low,5,216,0,0.0
alpha_nested,low,5,216,14,6.5
nested_narrative,low,5,216,1,0.5
flat_alpha,medium,5,216,5,2.3
grouped_by_type,medium,5,216,1,0.5
append_order,medium,5,216,0,0.0
ui_contract,medium,5,216,1,0.5
alpha_nested,medium,5,216,1,0.5
nested_narrative,medium,5,216,0,0.0
flat_alpha,high,5,216,1,0.5
grouped_by_type,high,5,216,1,0.5
append_order,high,5,216,0,0.0
ui_contract,high,5,216,2,0.9
alpha_nested,high,5,216,0,0.0
nested_narrative,high,5,216,0,0.0
